iter	Passed	Remaining
0	3	3512
1	5	2857
2	8	2864
3	11	2939
4	14	2919
5	17	2968
6	19	2834
7	22	2745
8	24	2648
9	25	2539
10	27	2457
11	29	2464
12	31	2398
13	33	2375
14	35	2325
15	37	2299
16	39	2283
17	41	2245
18	44	2272
19	46	2266
20	48	2271
21	51	2274
22	52	2242
23	54	2230
24	56	2215
25	58	2194
26	60	2169
27	61	2142
28	63	2127
29	65	2102
30	66	2087
31	68	2064
32	69	2045
33	71	2025
34	72	2010
35	74	1990
36	76	1986
37	78	1978
38	79	1964
39	81	1951
40	83	1945
41	85	1938
42	86	1928
43	88	1921
44	90	1913
45	91	1906
46	93	1897
47	95	1888
48	96	1879
49	98	1872
50	100	1862
51	101	1854
52	103	1853
53	105	1853
54	107	1846
55	109	1840
56	110	1833
57	112	1824
58	113	1816
59	115	1811
60	117	1809
61	119	1801
62	120	1795
63	122	1788
64	124	1784
65	125	1778
66	127	1772
67	129	1772
68	130	1764
69	132	1758
70	133	1753
71	135	1745
72	137	1741
73	138	1734
74	140	1728
75	141	1722
76	143	1716
77	145	1714
78	146	1708
79	148	1705
80	149	1698
81	151	1694
82	153	1691
83	154	1687
84	156	1685
85	158	1685
86	160	1683
87	161	1678
88	163	1674
89	165	1671
90	166	1667
91	168	1661
92	169	1656
93	171	1654
94	173	1650
95	174	1645
96	176	1640
97	177	1635
98	179	1631
99	180	1628
100	182	1624
101	184	1621
102	185	1617
103	187	1617
104	190	1620
105	191	1617
106	193	1613
107	194	1610
108	196	1609
109	199	1611
110	200	1607
111	202	1602
112	203	1598
113	205	1598
114	207	1594
115	209	1593
116	212	1600
117	213	1598
118	215	1596
119	217	1593
120	218	1590
121	220	1587
122	222	1586
123	223	1582
124	225	1578
125	227	1576
126	229	1574
127	230	1570
128	232	1567
129	233	1564
130	235	1561
131	236	1557
132	238	1553
133	239	1550
134	241	1548
135	243	1545
136	245	1543
137	246	1540
138	248	1537
139	249	1535
140	251	1532
141	253	1529
142	254	1526
143	256	1524
144	258	1521
145	259	1519
146	261	1517
147	263	1515
148	264	1512
149	266	1509
150	267	1506
151	269	1503
152	271	1501
153	273	1499
154	274	1497
155	276	1496
156	278	1493
157	279	1490
158	281	1488
159	283	1486
160	284	1484
161	286	1481
162	287	1478
163	289	1476
164	291	1474
165	292	1471
166	294	1468
167	295	1465
168	297	1462
169	298	1459
170	300	1456
171	302	1453
172	303	1451
173	305	1450
174	307	1447
175	308	1446
176	310	1445
177	313	1447
178	315	1448
179	317	1447
180	320	1451
181	323	1455
182	325	1452
183	326	1449
184	328	1446
185	330	1444
186	331	1442
187	335	1447
188	338	1450
189	341	1454
190	343	1454
191	345	1453
192	347	1451
193	349	1450
194	350	1448
195	352	1446
196	354	1444
197	355	1441
198	357	1439
199	359	1437
200	360	1434
201	362	1432
202	364	1429
203	365	1427
204	367	1424
205	369	1422
206	370	1420
207	372	1417
208	373	1414
209	375	1412
210	377	1409
211	378	1407
212	380	1404
213	381	1402
214	383	1399
215	384	1396
216	386	1393
217	387	1391
218	389	1388
219	390	1385
220	392	1383
221	394	1381
222	395	1379
223	397	1376
224	398	1373
225	400	1371
226	402	1368
227	403	1366
228	404	1363
229	406	1362
230	408	1359
231	409	1356
232	411	1354
233	413	1352
234	414	1350
235	416	1347
236	417	1345
237	420	1345
238	421	1343
239	424	1343
240	426	1343
241	429	1343
242	431	1344
243	433	1344
244	435	1341
245	437	1340
246	438	1337
247	440	1335
248	442	1333
249	443	1331
250	445	1329
251	446	1326
252	448	1324
253	450	1322
254	451	1320
255	454	1321
256	456	1319
257	459	1321
258	461	1319
259	464	1320
260	466	1321
261	468	1320
262	470	1318
263	472	1316
264	473	1313
265	475	1311
266	476	1308
267	478	1306
268	480	1304
269	481	1302
270	483	1300
271	484	1298
272	486	1295
273	488	1293
274	489	1291
275	491	1289
276	493	1287
277	494	1285
278	496	1282
279	498	1280
280	499	1278
281	501	1276
282	502	1273
283	504	1271
284	505	1269
285	507	1266
286	509	1264
287	510	1262
288	512	1260
289	513	1257
290	515	1255
291	516	1253
292	518	1250
293	520	1249
294	521	1247
295	523	1245
296	525	1243
297	526	1240
298	528	1238
299	530	1236
300	531	1234
301	533	1232
302	534	1229
303	536	1227
304	537	1225
305	539	1222
306	540	1220
307	542	1218
308	543	1216
309	545	1213
310	546	1211
311	548	1209
312	550	1207
313	551	1205
314	553	1203
315	555	1201
316	556	1199
317	558	1197
318	560	1196
319	563	1196
320	564	1195
321	566	1193
322	568	1191
323	569	1189
324	571	1186
325	572	1184
326	574	1182
327	576	1180
328	577	1178
329	579	1176
330	581	1174
331	582	1172
332	584	1171
333	586	1169
334	587	1167
335	589	1164
336	591	1162
337	592	1160
338	594	1158
339	595	1156
340	597	1154
341	598	1152
342	600	1150
343	602	1148
344	603	1146
345	605	1144
346	606	1142
347	608	1139
348	610	1137
349	611	1135
350	612	1133
351	614	1131
352	615	1128
353	617	1126
354	619	1124
355	620	1122
356	622	1120
357	623	1118
358	625	1117
359	627	1115
360	628	1113
361	630	1111
362	632	1109
363	634	1107
364	636	1106
365	637	1104
366	639	1102
367	640	1100
368	642	1098
369	643	1096
370	645	1094
371	647	1092
372	648	1090
373	650	1089
374	652	1087
375	654	1086
376	656	1084
377	657	1082
378	659	1080
379	660	1078
380	662	1076
381	664	1074
382	665	1072
383	667	1070
384	668	1068
385	670	1066
386	672	1064
387	673	1062
388	675	1060
389	676	1058
390	678	1056
391	679	1054
392	681	1052
393	682	1050
394	684	1048
395	686	1047
396	688	1045
397	690	1044
398	694	1045
399	696	1044
400	699	1044
401	702	1045
402	705	1045
403	708	1045
404	712	1046
405	713	1044
406	715	1042
407	716	1040
408	718	1038
409	719	1036
410	722	1034
411	723	1032
412	725	1030
413	726	1029
414	728	1027
415	730	1025
416	731	1023
417	733	1021
418	735	1019
419	736	1017
420	738	1015
421	740	1013
422	741	1011
423	743	1009
424	744	1007
425	746	1005
426	748	1003
427	749	1002
428	751	999
429	752	997
430	754	996
431	756	994
432	757	992
433	759	990
434	760	988
435	762	985
436	763	984
437	765	982
438	767	980
439	768	978
440	770	976
441	772	974
442	773	972
443	775	971
444	777	969
445	778	967
446	780	965
447	781	963
448	783	961
449	785	959
450	786	957
451	788	955
452	790	954
453	791	951
454	793	950
455	794	948
456	796	946
457	798	944
458	799	942
459	801	940
460	802	938
461	804	936
462	805	934
463	807	932
464	808	930
465	810	928
466	812	927
467	813	925
468	815	923
469	816	921
470	818	919
471	819	917
472	821	915
473	823	913
474	825	912
475	827	910
476	828	908
477	831	908
478	833	906
479	834	904
480	836	902
481	838	900
482	839	898
483	841	897
484	842	895
485	844	893
486	846	891
487	847	889
488	849	887
489	850	885
490	852	883
491	853	881
492	855	879
493	857	877
494	858	876
495	860	874
496	862	872
497	864	871
498	865	869
499	867	867
500	869	865
501	870	863
502	872	861
503	874	860
504	876	858
505	878	857
