iter	Passed	Remaining
0	1	788
1	3	758
2	5	735
3	6	713
4	8	702
5	10	691
6	11	683
7	13	678
8	15	677
9	16	674
10	18	682
11	20	688
12	22	694
13	24	687
14	25	683
15	27	684
16	29	681
17	30	679
18	32	678
19	34	678
20	36	674
21	37	669
22	39	669
23	41	665
24	42	662
25	44	659
26	46	657
27	47	654
28	49	653
29	50	650
30	52	648
31	54	646
32	56	646
33	57	643
34	59	640
35	60	637
36	62	636
37	64	633
38	65	630
39	67	627
40	68	624
41	70	622
42	72	621
43	73	619
44	75	617
45	77	616
46	78	614
47	80	612
48	82	610
49	83	609
50	85	607
51	87	605
52	89	604
53	90	603
54	92	600
55	93	598
56	95	596
57	97	595
58	99	594
59	100	591
60	102	589
61	103	587
62	105	585
63	106	583
64	108	581
65	110	579
66	111	577
67	113	575
68	115	573
69	116	572
70	118	570
71	120	568
72	121	566
73	123	564
74	124	562
75	126	560
76	128	558
77	129	557
78	131	555
79	133	553
80	134	551
81	136	549
82	137	548
83	139	546
84	141	544
85	142	542
86	144	540
87	145	538
88	147	536
89	148	534
90	150	532
91	152	531
92	153	529
93	155	527
94	156	525
95	158	524
96	160	522
97	162	521
98	163	519
99	165	517
100	167	516
101	169	516
102	171	514
103	172	512
104	174	513
105	176	511
106	178	509
107	180	508
108	181	506
109	183	504
110	184	502
111	186	501
112	188	499
113	189	497
114	191	495
115	192	493
116	194	492
117	196	490
118	197	488
119	199	486
120	201	485
121	202	483
122	204	481
123	205	479
124	207	478
125	209	476
126	211	475
127	212	473
128	214	471
129	215	469
130	217	468
131	219	466
132	220	464
133	222	463
134	224	461
135	225	460
136	227	458
137	229	457
138	231	456
139	233	455
140	235	453
141	236	451
142	238	450
143	240	449
144	243	449
145	244	447
146	246	446
147	248	444
148	249	442
149	251	441
150	253	439
151	254	437
152	256	435
153	258	434
154	259	432
155	261	430
156	263	428
157	264	427
158	266	425
159	267	423
160	269	421
161	271	420
162	272	418
163	274	416
164	276	415
165	277	413
166	279	411
167	280	409
168	282	407
169	284	405
170	285	404
171	287	402
172	288	400
173	290	398
174	292	397
175	293	395
176	295	393
177	297	392
178	298	390
179	300	388
180	301	386
181	303	385
182	304	383
183	306	381
184	308	380
185	310	378
186	311	376
187	313	374
188	314	373
189	316	371
190	318	369
191	319	368
192	321	366
193	323	364
194	324	363
195	326	361
196	327	359
197	330	358
198	331	356
199	333	354
200	334	353
201	336	351
202	337	349
203	339	347
204	341	346
205	342	344
206	344	342
207	346	341
208	347	339
209	349	337
210	350	336
211	352	334
212	354	332
213	355	330
214	357	329
215	359	327
216	360	325
217	362	324
218	364	322
219	365	320
220	367	319
221	368	317
222	370	315
223	372	313
224	373	312
225	375	310
226	377	308
227	378	307
228	380	305
229	382	303
230	383	302
231	385	300
232	386	298
233	388	297
234	389	295
235	391	293
236	393	292
237	394	290
238	396	288
239	397	286
240	399	285
241	401	283
242	402	281
243	404	280
244	406	278
245	407	276
246	409	275
247	411	273
248	412	271
249	414	270
250	416	268
251	417	266
252	419	265
253	421	263
254	422	261
255	424	260
256	425	258
257	427	256
258	429	255
259	430	253
260	432	251
261	434	250
262	435	248
263	437	246
264	438	245
265	440	243
266	442	241
267	443	240
268	445	238
269	447	236
270	448	235
271	450	233
272	451	231
273	453	230
274	454	228
275	456	226
276	458	225
277	459	223
278	461	221
279	463	219
280	464	218
281	466	216
282	468	215
283	469	213
284	471	211
285	472	209
286	474	208
287	475	206
288	477	204
289	479	203
290	480	201
291	482	199
292	483	198
293	485	196
294	486	194
295	488	193
296	490	191
297	491	189
298	493	188
299	494	186
300	496	184
301	498	183
302	499	181
303	501	179
304	503	178
305	504	176
306	506	174
307	507	173
308	509	171
309	511	169
310	512	168
311	514	166
312	516	164
313	517	163
314	519	161
315	520	159
316	522	158
317	524	156
318	525	154
319	527	153
320	528	151
321	530	149
322	532	148
323	533	146
324	535	144
325	536	143
326	538	141
327	540	139
328	541	138
329	543	136
330	545	135
331	546	133
332	548	131
333	549	130
334	551	128
335	553	126
336	554	125
337	556	123
338	558	121
339	559	120
340	561	118
341	562	116
342	564	115
343	566	113
344	567	111
345	569	110
346	571	108
347	572	106
348	574	105
349	575	103
350	577	101
351	579	100
352	580	98
353	582	97
354	583	95
355	585	93
356	587	92
357	588	90
358	590	88
359	591	87
360	593	85
361	595	83
362	596	82
363	598	80
364	600	78
365	601	77
366	603	75
367	605	73
368	606	72
369	608	70
370	610	69
371	611	67
372	613	65
373	615	64
374	616	62
375	618	60
376	619	59
377	621	57
378	623	55
379	624	54
380	626	52
381	627	50
382	629	49
383	631	47
384	632	46
385	634	44
386	636	42
387	637	41
388	639	39
389	640	37
390	642	36
391	644	34
392	646	32
393	647	31
394	649	29
395	650	27
396	652	26
397	653	24
398	655	22
399	657	21
400	658	19
401	660	18
402	662	16
403	663	14
404	665	13
405	667	11
406	668	9
407	670	8
408	672	6
409	673	4
410	675	3
411	676	1
412	678	0
